,id,name,cluster,host_id,host,host_alias,alias_id,listing_url,host_url,minimum_minimum_nights,license,ISD_status,ISD_address,neighborhood_overview,description,last_scraped
570,20818827,"4B south end,sunny room near orange/silver line T",66-1,CorpGroup19,Ann,Ann,41932249.0,https://www.airbnb.com/rooms/20818827,https://www.airbnb.com/users/show/41932249,91.0,Missing,?,,"Located in Boston's south end, 5 minute walk to BU medical area. Easy access to orange line silver line T and buses on Mass Ave.","located in quiet one way street, sunny room in 4th floor 4room 2baths brownstone building, <br />two big windows, closet, newly sanded floor.<br />Walk to BU medical center, minutes to downtown Boston by bus and subway.<br /><br /><b>The space</b><br />guests have their own room, two shared baths<br />in the hallway. shared dining room/kitchen.<br />cups/forks/plates if not in the cabinets check the dish washer.<br />Shampoo and soap provided.<br /><br /><b>Guest access</b><br />Free Wi-fi. Private room, common baths<br />in hallway.<br /><br /><b>Other things to note</b><br />Room on 4th floor.",2020-08-31
571,20819487,1D south end/BU Med/NEU/Haynes C.C. cozy room,66-2,CorpGroup19,Ann,Ann,41932249.0,https://www.airbnb.com/rooms/20819487,https://www.airbnb.com/users/show/41932249,1.0,414143,Void,20 Winthrop ST 12 1 Boston MA 02119,"Located in Boston's south end, 5 minute walk to BU medical area. Easy access to orange line silver line T and buses on Mass Ave. Minutes to NEU, Convention<br />center, longwood hospitals.","cozy room in 4 room 3 bath in a older brownstone building, minimum furnishing. Located on a quiet one way street, you'll get a good night sleep here.<br />Two of the rooms have private bath, this room and another room <br />will share the common bath. No kitchen on this level.<br /><br /><b>The space</b><br />Just sanded the floor, painted the rooms,<br />no kitchen/living room on this level,<br />can provide kitchen access on a different floor if needed.<br /><br /><b>Guest access</b><br />their own room, one common bath, wifi, no kitchen, <br />can provide kitchen access on a different floor if needed,<br />the room has no key pad lock 'cause it connects to<br />rear exit, but can be locked from inside while guests are<br />home, keypad lock is provided for the closet inside<br />the room if guests need to lock up their belongs while<br />out.<br /><br /><b>License number</b><br />STR-414143",2020-08-31
572,20819948,2B. sunny room in 4bed2bath BU Medical/NEU,66-1,CorpGroup19,Ann,Ann,41932249.0,https://www.airbnb.com/rooms/20819948,https://www.airbnb.com/users/show/41932249,91.0,Missing,?,,"Located in Boston's south end, 5 minute walk to BU medical area. Also within walking distance of NEU. Easy access to orange line silver line T and buses on Mass Ave.","Located in a quiet one way street, older brown stone building, <br />Sunny room with two bay windows in , 2nd floor modern unit with 3 other bed rooms, shared 2 bath and common area.<br /><br /><b>The space</b><br />Bright room in modern unit with 3 other bed rooms, shared 2 bath, kitchen, living/dining room.<br /><br /><b>Guest access</b><br />guests have their private room, <br />shared 2 baths, kitchen, living/dining room.<br />cups/forks/plates if not in the cabinets check the dish washer,<br />Free wifi.<br />Guests from ground floor may share the kitchen also.<br /><br /><b>Other things to note</b><br />Just set up with beds, linens are provided,  kitchen has some utensils, microwave oven, toaster,  table and chairs. Free wifi.",2020-08-31
576,20960666,"1C. south end, room w/bath by orange/silver line T",66-2,CorpGroup19,Ann,Ann,41932249.0,https://www.airbnb.com/rooms/20960666,https://www.airbnb.com/users/show/41932249,1.0,414143,Void,20 Winthrop ST 12 1 Boston MA 02119,"Located in Boston's south end, 5 minute walk to BU medical area. Easy access to orange line silver line T and buses on Mass Ave. Minutes to NEU, <br />convention center, longwood hospitals.","One room in 4rooms 3bath unit, of a brownstone building, minimum furnishing, private bath, no kitchen on this level. <br />Located on a quiet one way street, you'll get a good night sleep here.<br /><br /><b>The space</b><br />Just sanded the floor and painted the rooms. <br />Guest can access their own room/bath and one common bath<br />in the hallway. Free wi-fi.<br /><br /><b>Guest access</b><br />Free  Wifi.<br /><br /><b>License number</b><br />STR-414143",2020-08-31
594,21597619,"1B. south end, cozy room by orange/silver line T",66-2,CorpGroup19,Ann,Ann,41932249.0,https://www.airbnb.com/rooms/21597619,https://www.airbnb.com/users/show/41932249,1.0,414143,Void,20 Winthrop ST 12 1 Boston MA 02119,"Located in Boston's south end, 5 minute walk to BU medical area. Easy access to orange line silver line T and buses on Mass Ave.","located in quiet one way street, cozy room  4room 3baths in brownstone building, two beds, one closet, newly sanded floor, new paint.<br />Walk to BU medical center, minutes to downtown Boston by bus and subway.<br /><br /><b>The space</b><br />guests have their own room,  2 out of 4 rooms have<br />their private bath, this room and another room would<br />share a bath in the hallway. No living room nor kitchen.<br /><br /><b>Guest access</b><br />their own room, free wifi, common bath,<br /><br /><b>License number</b><br />STR-414143",2020-08-31
596,21635255,4C. cozy/quiet room-BU Med/NEU/Convention ctr,66-1,CorpGroup19,Ann,Ann,41932249.0,https://www.airbnb.com/rooms/21635255,https://www.airbnb.com/users/show/41932249,91.0,Missing,?,,"Located in Boston's south end, 5 minute walk to BU medical area. Easy access to orange line silver line T and buses on Mass Ave.","One room with two shared baths in 4rooms 2bath unit, of a brownstone building, simple furnishing. Located on a quiet one way street, you'll get a good night sleep here. Located<br />on 4th floor.<br /><br /><b>The space</b><br />Just sanded the floor and painted the rooms. <br />Guest can access their own room, two common baths<br />in the hallway. Free wi-fi. Shared kitchen/dining room.<br /><br /><b>Guest access</b><br />their own room, two common baths in the hallway, wifi, <br />shared kitchen/dining room.<br />cups/forks/plates if not in the cabinets check the dish washer.<br /><br /><b>Other things to note</b><br />Room on 4th floor.",2020-08-31
659,23056994,Cozy 1BR apartment,66-7,CorpGroup19,Ann,Ann,41932249.0,https://www.airbnb.com/rooms/23056994,https://www.airbnb.com/users/show/41932249,91.0,Missing,?,,"In quiet historic Fort Hill, 7-10 min walk to orange line Jackson sq, <br />Roxbury Crossing, minutes to downtown Boston.","Cozy garden level one bedroom apartment with modern kitchen, bath. Close to orange line T, longwood medical/BU medical area and all universities.<br /><br /><b>The space</b><br />Guest can access the kitchen/bedroom/bath within the unit, <br />through the kitchen door connects to basement section washer/dryer.<br />The stove oven doesn't work, there's a table top oven/toaster.<br />Host lives nearby not in the same building. <br />The street is a small one way street with free on street parking no<br />permit required.<br /><br /><b>Guest access</b><br />Kitchen, washer dryer on site. Wifi.",2020-08-31
819,26235532,4A BU Med Ctr/NEU/HCC/south end sunny cozy room,66-1,CorpGroup19,Ann,Ann,41932249.0,https://www.airbnb.com/rooms/26235532,https://www.airbnb.com/users/show/41932249,91.0,Missing,?,,"Located in Boston's south end, 5 minute walk to BU medical area. Easy access to orange line silver line T and buses on Mass Ave.","located in quiet one way street, cozy room in 4th floor 4room 2baths in brownstone building, one full bed, one closet, newly sanded floor, new paint. Walk to BU medical center, minutes to downtown Boston by bus and subway.<br /><br /><b>The space</b><br />cozy unit with 4rooms, 2 bath, kitchen, living/dining room.<br /><br /><b>Guest access</b><br />shared kitchen and baths, simple utensils, fridge, microwave oven, toaster oven.<br />cups/forks/plates if not in the cabinets check the dish washer.<br />Free wi-fi.<br /><br /><b>Other things to note</b><br />Room on 4th floor.",2020-08-31
832,26997440,4D - south end/BU Med/NEU/Haynes Convention,66-1,CorpGroup19,Ann,Ann,41932249.0,https://www.airbnb.com/rooms/26997440,https://www.airbnb.com/users/show/41932249,91.0,Missing,?,,"Located in Boston's south end, 5 minute walk to BU medical area. Easy access to orange line silver line T and buses on Mass Ave.","cozy room in 4 room 2 bath in a older brownstone building, minimum furnishing. Located on a quiet one way street, you'll get a good night sleep here. Just sanded the floor, painted the walls. 4th floor, must climb stairs.<br /><br /><b>The space</b><br />cozy room in 4 room 2 bath in a older brownstone building, simple furnishing. <br />Located on a quiet one way street, you'll get a good night sleep here.<br /><br /><b>Guest access</b><br />their own room, two common baths, wifi,  kitchen/dining room, <br />cups/forks/plates if not in the cabinets check the dish washer,<br />the room has no key pad lock 'cause it connects to<br />rear exit, but can be locked from inside while guests are<br />home, keypad lock is provided for the closet inside<br />the room if guests need to lock up their belongs while<br />out.<br /><br /><b>Other things to note</b><br />Room on 4th floor.",2020-08-31
846,27659017,"1A south end, sunny room w/bath near T/BU Medical",66-2,CorpGroup19,Ann,Ann,41932249.0,https://www.airbnb.com/rooms/27659017,https://www.airbnb.com/users/show/41932249,1.0,414143,Void,20 Winthrop ST 12 1 Boston MA 02119,"Located in Boston's south end, 5 minute walk to BU medical area. Easy access to orange line silver line T and buses on Mass Ave.","One room in 4rooms 3bath unit, of a brownstone building, minimum furnishing, private bath, no kitchen. Located on a quiet one way street. Additional shared bath in hallway.<br /><br /><b>The space</b><br />Private room with private bath.<br /><br /><b>License number</b><br />STR-414143",2020-08-31
